,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
2369,CS3481,184,24,1601,78.25,86.57,86.57,4.27,High value Customer
2370,CS3482,343,17,1208,36.05,41.88,41.88,2.05,Low Value Customers
2371,CS3483,361,29,1977,29.1,98.05,98.05,4.39,High value Customer
2372,CS3484,415,13,867,15.6,17.32,17.32,0.85,Lost Customers
2373,CS3485,440,25,1633,11.3,90.27,90.27,3.92,Medium Value Customer
2374,CS3486,358,16,1147,30.04,34.8,34.8,1.7,Low Value Customers
2375,CS3487,397,9,703,18.78,3.46,3.46,0.29,Lost Customers
2376,CS3488,335,22,1490,39.69,76.89,76.89,3.57,Medium Value Customer
2377,CS3489,185,19,1357,77.31,56.47,56.47,2.98,Low Value Customers
2378,CS3490,91,18,1155,89.72,49.21,49.21,2.76,Low Value Customers
2379,CS3491,281,18,1165,62.34,49.21,49.21,2.56,Low Value Customers
2380,CS3492,122,26,1826,86.16,93.1,93.1,4.6,Top Customers
2381,CS3493,433,20,1397,12.22,63.59,63.59,2.79,Low Value Customers
2382,CS3494,338,15,1074,38.25,28.31,28.31,1.49,Lost Customers
2383,CS3495,363,19,1326,28.35,56.47,56.47,2.61,Low Value Customers
2384,CS3496,92,16,1254,88.44,34.8,34.8,2.14,Low Value Customers
2385,CS3497,417,11,900,15.08,8.74,8.74,0.48,Lost Customers
2386,CS3498,214,22,1480,76.33,76.89,76.89,3.84,Medium Value Customer
2387,CS3499,93,21,1330,87.23,70.65,70.65,3.66,Medium Value Customer
2388,CS3500,1,21,1495,98.83,70.65,70.65,3.74,Medium Value Customer
2389,CS3501,62,27,2083,91.86,95.23,95.23,4.74,Top Customers
2390,CS3502,373,17,1057,25.02,41.88,41.88,1.97,Low Value Customers
2391,CS3503,62,17,1143,91.86,41.88,41.88,2.47,Low Value Customers
2392,CS3504,153,30,2207,83.11,98.88,98.88,4.83,Top Customers
2393,CS3505,124,23,1627,84.19,82.07,82.07,4.12,High value Customer
2394,CS3506,393,14,906,19.81,22.55,22.55,1.11,Lost Customers
2395,CS3507,282,15,1054,61.61,28.31,28.31,1.67,Low Value Customers
2396,CS3508,307,20,1453,49.72,63.59,63.59,3.08,Medium Value Customer
2397,CS3509,313,28,2151,46.06,96.85,96.85,4.46,High value Customer
2398,CS3510,32,23,1603,94.33,82.07,82.07,4.2,High value Customer
